STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXPDEST,General government spending by destination,INDIVIDUAL,Individual,PC_GDP,% of GDP,A,Annual,2021,,13.17750778,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2021,,22.1684911,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,RESEARCHER,Researchers,TOT,Total,HEADCOUNT,Headcount,A,Annual,2021,,983604,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,GOVRESEARCHER,Government researchers,TOT,Total,HEADCOUNT,Headcount,A,Annual,2021,,21926,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,GRALPUBSER,General public services,PC_GDP,% of GDP,A,Annual,2021,,3.765649707,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,RESEARCHER,Researchers,WOMEN,Women,HEADCOUNT,Headcount,A,Annual,2021,,175419,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,GOVRESEARCHER,Government researchers,TOT,Total,PC_NATIONAL,% of national total,A,Annual,2021,,9.297606203,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,FIBRE,Fibre/LAN,NBR,Number,A,Annual,2021,,19870990,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,DSL,DSL,NBR,Number,A,Annual,2021,,746341,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,WIRELESSWIRED,Mobile broadband subscriptions,TOT,Total,100HAB,Per 100 inhabitants,A,Annual,2021,,190.493,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGREV,General government revenue,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,37.43030293,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,RESEARCHER,Researchers,TOT,Total,1000EMPLOYED,Per 1 000 employed,A,Annual,2021,,14.65587112,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXENV,Environmental tax,ENRG,Energy,PC_TOT_TAX,% of taxation,A,Annual,2021,,3.88,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GOVRESEARCHER,Government researchers,WOMEN,Women,HEADCOUNT,Headcount,A,Annual,2021,,7252,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXENV,Environmental tax,RES,Resources,PC_TOT_TAX,% of taxation,A,Annual,2016,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXENV,Environmental tax,RES,Resources,PC_GDP,% of GDP,A,Annual,2020,,0,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,TOT,Total,NBR,Number,A,Annual,2017,,20989294,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,30.27072751,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,230.3029,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,HEALTH,Health,PC_GDP,% of GDP,A,Annual,2021,,5.730472356,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,RESEARCHER,Researchers,WOMEN,Women,HEADCOUNT,Headcount,A,Annual,2021,,130055,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,TOT,Total,100HAB,Per 100 inhabitants,A,Annual,2021,,44.341,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXPDEST,General government spending by destination,INDIVIDUAL,Individual,PC_GDP,% of GDP,A,Annual,2020,,9.960405543,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,DEF,Defence,PC_GDP,% of GDP,A,Annual,2020,,0.916705869,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,EDU,Education,PC_GDP,% of GDP,A,Annual,2020,,5.197080351,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GOVRESEARCHER,Government researchers,WOMEN,Women,HEADCOUNT,Headcount,A,Annual,2020,,8088,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,ENVPROT,Environmental protection,PC_GDP,% of GDP,A,Annual,2020,,1.112640207,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GOVRESEARCHER,Government researchers,TOT,Total,HEADCOUNT,Headcount,A,Annual,2020,,30822,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,RESEARCHER,Researchers,TOT,Total,HEADCOUNT,Headcount,A,Annual,2020,,558045,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,DSL,DSL,100HAB,Per 100 inhabitants,A,Annual,2020,,0.981,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,CABLE,Cable,100HAB,Per 100 inhabitants,A,Annual,2020,,5.236,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,SOCPROT,Social protection,PC_GDP,% of GDP,A,Annual,2020,,17.79165857,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGWEALTH,General government financial wealth,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,41.05473,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGNLEND,General government deficit,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,-9.077053898,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MNG,Mongolia,TAXENV,Environmental tax,POL,Pollution,PC_TOT_TAX,% of taxation,A,Annual,2020,,0.24,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHN,China (People's Republic of),TAXENV,Environmental tax,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,2020,,3.19,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,PATENT_ENV,Patents on environment technologies,TOT,Total,PC,Percentage,A,Annual,2020,,5.87,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MNG,Mongolia,RENEWABLE,Renewable energy,TOT,Total,PC_PRYENRGSUPPLY,% of primary energy supply,A,Annual,2020,,3.76,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,RENEWABLE,Renewable energy,TOT,Total,PC_PRYENRGSUPPLY,% of primary energy supply,A,Annual,2020,,2.13,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,HEALTH,Health,PC_GDP,% of GDP,A,Annual,2020,,8.564590497,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,ENVPROT,Environmental protection,PC_GDP,% of GDP,A,Annual,2020,,1.264741717,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GOVRESEARCHER,Government researchers,WOMEN,Women,PC_NATIONAL,% of national total,A,Annual,2020,,20.31408749,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,ECOAFF,Economic affairs,PC_GDP,% of GDP,A,Annual,2020,,5.791156939,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXPDEST,General government spending by destination,INDIVIDUAL,Individual,PC_GDP,% of GDP,A,Annual,2020,,12.78179366,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2020,,21.42318272,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,RESEARCHER,Researchers,TOT,Total,HEADCOUNT,Headcount,A,Annual,2020,,951726,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,GOVRESEARCHER,Government researchers,TOT,Total,HEADCOUNT,Headcount,A,Annual,2020,,22419,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,GOVRESEARCHER,Government researchers,TOT,Total,PC_NATIONAL,% of national total,A,Annual,2020,,9.871631874,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,GRALPUBSER,General public services,PC_GDP,% of GDP,A,Annual,2020,,3.843290005,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,RESEARCHER,Researchers,WOMEN,Women,HEADCOUNT,Headcount,A,Annual,2020,,166304,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,FIBRE,Fibre/LAN,NBR,Number,A,Annual,2020,,18923014,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,DSL,DSL,NBR,Number,A,Annual,2020,,1157534,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,WIRELESSWIRED,Mobile broadband subscriptions,TOT,Total,100HAB,Per 100 inhabitants,A,Annual,2020,,185.364,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGREV,General government revenue,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,35.43715234,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,RESEARCHER,Researchers,TOT,Total,1000EMPLOYED,Per 1 000 employed,A,Annual,2020,,14.21553643,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,RESEARCHER,Researchers,WOMEN,Women,HEADCOUNT,Headcount,A,Annual,2016,,41299.84688,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2016,,22.3365495,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2016,,15.70470457,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,TOT,Total,100HAB,Per 100 inhabitants,A,Annual,2016,,30.622,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,51.61334,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MNG,Mongolia,TAXENV,Environmental tax,TRANSPORT,Transport,PC_TOT_TAX,% of taxation,A,Annual,2016,,1.29,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXENV,Environmental tax,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,1.35,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,TAXENV,Environmental tax,ENRG,Energy,PC_TOT_TAX,% of taxation,A,Annual,2016,,4.09,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXPDEST,General government spending by destination,INDIVIDUAL,Individual,PC_GDP,% of GDP,A,Annual,2015,,8.185267202,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,ECOAFF,Economic affairs,PC_GDP,% of GDP,A,Annual,2018,,3.604673912,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,PUBORD,Public order and safety,PC_GDP,% of GDP,A,Annual,2018,,1.217523091,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,HOUCOMM,Housing and community amenities,PC_GDP,% of GDP,A,Annual,2018,,0.984046614,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GOVRESEARCHER,Government researchers,TOT,Total,PC_NATIONAL,% of national total,A,Annual,2018,,4.510170556,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,DSL,DSL,NBR,Number,A,Annual,2018,,696779,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,TOT,Total,NBR,Number,A,Annual,2018,,21285858,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,CABLE,Cable,NBR,Number,A,Annual,2018,,6846905,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,FIBRE,Fibre/LAN,100HAB,Per 100 inhabitants,A,Annual,2018,,24.825,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXPDEST,General government spending by destination,SOCIETY,Collective,PC_GDP,% of GDP,A,Annual,2018,,7.533710448,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,31.14724502,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,234.1849,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGREV,General government revenue,TOT,Total,THND_USD_CAP,Thousand US dollars/capita,A,Annual,2018,,15116.37,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,RESEARCHER,Researchers,TOT,Total,1000EMPLOYED,Per 1 000 employed,A,Annual,2018,,9.97167897,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXENV,Environmental tax,TRANSPORT,Transport,PC_TOT_TAX,% of taxation,A,Annual,2018,,1.52,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MNG,Mongolia,TAXENV,Environmental tax,ENRG,Energy,PC_GDP,% of GDP,A,Annual,2018,,0.83,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHN,China (People's Republic of),TAXENV,Environmental tax,TRANSPORT,Transport,PC_TOT_TAX,% of taxation,A,Annual,2018,,2.77,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,HOUCOMM,Housing and community amenities,PC_GDP,% of GDP,A,Annual,2018,,0.634137464,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GOVRESEARCHER,Government researchers,WOMEN,Women,PC_NATIONAL,% of national total,A,Annual,2018,,26.49491303,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,SOCPROT,Social protection,PC_GDP,% of GDP,A,Annual,2018,,6.907639404,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GOVRESEARCHER,Government researchers,TOT,Total,PC_NATIONAL,% of national total,A,Annual,2018,,6.700804896,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GOVRESEARCHER,Government researchers,TOT,Total,HEADCOUNT,Headcount,A,Annual,2018,,34745,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,RESEARCHER,Researchers,WOMEN,Women,HEADCOUNT,Headcount,A,Annual,2018,,43653.89236,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2018,,22.61453515,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2018,,16.56203442,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,TOT,Total,100HAB,Per 100 inhabitants,A,Annual,2018,,31.684,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,50.41999,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,HOUCOMM,Housing and community amenities,PC_GDP,% of GDP,A,Annual,2019,,0.626820632,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GOVRESEARCHER,Government researchers,WOMEN,Women,PC_NATIONAL,% of national total,A,Annual,2019,,27.16664073,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GOVRESEARCHER,Government researchers,TOT,Total,PC_NATIONAL,% of national total,A,Annual,2019,,6.660573705,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,SOCPROT,Social protection,PC_GDP,% of GDP,A,Annual,2019,,7.623904643,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GOVRESEARCHER,Government researchers,TOT,Total,HEADCOUNT,Headcount,A,Annual,2019,,34920,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,RESEARCHER,Researchers,WOMEN,Women,HEADCOUNT,Headcount,A,Annual,2019,,45114.62088,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2019,,22.65426406,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2019,,16.86800824,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,TOT,Total,100HAB,Per 100 inhabitants,A,Annual,2019,,32.485,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,52.6506,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXENV,Environmental tax,TRANSPORT,Transport,PC_GDP,% of GDP,A,Annual,2019,,0.47,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MNG,Mongolia,TAXENV,Environmental tax,POL,Pollution,PC_GDP,% of GDP,A,Annual,2019,,0.05,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHN,China (People's Republic of),TAXENV,Environmental tax,RES,Resources,PC_TOT_TAX,% of taxation,A,Annual,2019,,0.84,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHN,China (People's Republic of),TAXENV,Environmental tax,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,0.65,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXENV,Environmental tax,ENRG,Energy,PC_GDP,% of GDP,A,Annual,2019,,0.81,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXENV,Environmental tax,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,2019,,4.08,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHN,China (People's Republic of),PATENT_ENV,Patents on environment technologies,TOT,Total,PC,Percentage,A,Annual,2019,,9.54,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,PATENT_ENV,Patents on environment technologies,TOT,Total,PC,Percentage,A,Annual,2019,,11.08,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXPDEST,General government spending by destination,INDIVIDUAL,Individual,PC_GDP,% of GDP,A,Annual,2019,,9.486504559,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,DEF,Defence,PC_GDP,% of GDP,A,Annual,2019,,0.921455545,,A,,,,,,,
